"","X.2","X.1","X","id","resourceType","title","description","startDate","endDate","lat","lon","documentType","author","Evacuated","Homeless","Injuries","Deaths","Insured.Cost","Train.s..damaged","Train.s..destroyed","Home.s..damaged","Home.s..destroyed","Building.s..damaged","Building.s..destroyed","Ind.Premises.destroyed","Com.Premises.damaged","Com.Premises.destroyed","Bridge.s..damaged","Bridge.s..destroyed","Aircraft.damaged","Aircraft.destroyed","Motor.Vehicle.s..damaged","Motor.Vehicle.s..destroyed","Water.vessel.s..damaged","Water.vessel.s..destroyed","Business.es..damaged","Business.es..destroyed","Farm.s..damaged","Farm.s..destroyed","Crop.s..destroyed","Livestock.destroyed","Government.assistance","regions","subjects","url","resourceUrl","Disasterlength","buildingdestroyedordamaged","Vehiclesdamagedordestroyed"
"1",1,1,0,1,"Disaster Event","Drought/Heatwave","An extreme heatwave occurred in south-eastern Australia, January 1939. It was long lasting with very high temperatures. On 9 January the temperature at Kyancutta (South Australia) reached 49.3 &deg;C, the highest temperature recorded in South Australia at that time.  Many temperature records were made during this heatwave, some of which have held until the recent 2009 heatwave; Adelaide, 46.1 &deg;C, on 12 January, Melbourne, 45.6&deg;C on 13 January, Sydney, 45.3&deg;C on 14 January with Manly and Richmond both reaching over 47 &deg;C. In northern New South Wales some places reached 48&nbsp;&deg;C on 15 January. Menindee in western New South Wales reached 49.7 &deg;C.  High temperatures were experienced inland in 1939; at Mildura the temperature exceeded 37.8&nbsp;&deg;C on each of the first 14 days of January, and at the peak of the heatwave, averaged 45.6&deg;C from 7-14 January. It is estimated that more than 400 deaths in Victoria were caused by excessive heat.  The strong northerly winds in 1939 over this period followed a very dry six months providing the right conditions for extreme bushfire, see the related entry for the 13 January 1939, Black Friday bushfire.","1/01/1939 0:00","1/16/1939 0:00",-33.1315155,135.5578918,NA,"",0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria;New South Wales;South Australia",NA,"http://www.emknowledge.gov.au/resource/?id=1",NA,15,0,0
"2",2,2,4,5,"Disaster Event","Bushfire","The summer of January 1939 was a period of extreme weather conditions across Australia. Scorching temperatures created ideal conditions for bushfires. The notorious 'Black Friday' bushfires had a devastating impact on Victoria however, New South Wales was also badly affected by fire during the same period. The mercury reached 45.3C in Sydney and subsequent fires erupted across the state in towns including Port Hacking, Palm Beach, Nowra, Mittagong, Goulburn, Braidwood, Bega, Parramatta, Lidcombe, Bathurst, Windsor, Castle Hill, Pennant Hills, Petersham, Earlwood, Croydon, Katoomba and other areas around the Blue Mountains.  The bushfires had a devastating impact on infrastructure, including roads and railway lines. There was also a significant loss to farms and livestock and approximately fifty houses were completely destroyed by fire. Six individuals lost their lives as a direct result of the fires.  It was estimated that the 1939 damage was approximately &pound;300,000.","1/13/1939 0:00","1/14/1939 0:00",-34.42498398,150.8931274,NA,"",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=5",NA,1,0,0
"3",3,3,6,7,"Disaster Event","Bushfire","On 5 April 1958 a pine plantation fire occurred in Wandilo, near Mount Gambier, where eight firefighters lost their lives. The fire started at 10.45 am and strong north, north-easterly winds forced the fire into nearby forests. Forestry and Emergency Fire Service units were dispatched and entered a clearing in the plantation. A fire storm developed and fire fighting crews were caught unprepared. Two forestry units were bogged in soft sand when trying to evacuate and another damaged a gearbox and could not move. Three people managed to survive in and out of the trucks but eight others died.  The fire was brought under control early the next day.","4/05/1958 0:00","4/06/1958 0:00",-37.73846054,140.7737122,NA,"",0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Australia",NA,"http://www.emknowledge.gov.au/resource/?id=7",NA,1,0,0
"4",4,4,11,12,"Disaster Event","Cyclone/Tornado","Tropical Cyclone George formed on 3 March 2007 in the Joseph Bonaparte Gulf. By the time it crossed the coast, 50 km north-east of Port Hedland on 8 March, it had intensified from a Category 3 to a Category 5 tropical cyclone.  Winds generated by Tropical Cyclone George reached 154 km per hour at Port Hedland before the equipment failed. Temporary accommodation at a railway camp was severely damaged with some units breaking into pieces, causing greater damage. Of the 230 workers seeking shelter at the camp, which was 120 km south of Port Hedland, two died and 22 were injured. Damage was also reported at 3 mining camps, where 1000 people were cut off from rescuers by 275 km per hour winds.  An emergency situation was declared under the Emergency Management Act on 9 March to assist areas impacted by TC George, including the local government districts of Port Hedland, Roebourne and Ashburton.  Gas and oil production facilities in the region were closed for up to seven days as a result of the cyclone. The Insurance Council of Australia estimated the 2007 damage at $8 million, with the 2011 estimated normalised cost of $12 million.","3/03/2007 0:00","3/08/2007 0:00",-20.31162643,118.5752563,NA,"",0,0,20,3,8e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia",NA,"http://www.emknowledge.gov.au/resource/?id=12",NA,5,0,0
"5",5,5,16,17,"Disaster Event","Storm/Flood","In June 2007 there were five east coast lows off the coast of New South Wales. The first and most severe occurred over 8-9 June. Heavy rain, strong winds and large ocean swells resulted in widespread damage to coastal regions of the Hunter, Central Coast and Sydney Metropolitan areas. The Queen's birthday weekend east coast lows developed in a pre-existing trough of low pressure over the northern Tasman Sea. This trough was directing a humid north-east to south-east air stream across north-east New South Wales and there was a weak low analysed just off the coast near Coffs Harbour on 8 June. The low moved south along the New South Wales coast, before moving out into the Tasman Sea on 10 June 2007.  Thunderstorms caused record breaking flooding in Newcastle, with 164.6 mm of rain falling in 6 hours from 3 pm to 9 pm, causing many shops and businesses to flood and hundreds of cars to be stranded or swept away. This storm event is often associated with the grounding of the Pasha Bulker (a 40,000 tonne bulk carrier ship) which occurred on 8 June on Nobbys Beach in Newcastle and was not re-floated until 2 July. Approximately 6000 people were evacuated from Maitland (near Newcastle) when it was considered that a levee may have burst.  In the Hunter Valley it was reported as the worst flooding in 52 years. Major flooding in the Hunter River occurred from 8 to 13 June and in the Paterson and Williams River from the 8 to 9 June. Moderate flooding occurred in the Wyong, Colo and Nepean Rivers.  Ferry services were cancelled on Sydney Harbour due to the weather conditions. The Cremorne wharf collapsed and sank due to large ocean swells. Beaches were eroded at many Sydney locations, due to swells up to 14 metres high. High winds blew beach sand over 100 metres inland. Over 200,000 homes reportedly lost power in the Sydney - Newcastle area due to flooding and high winds. Many thousands of homes and businesses lost telephone services when telephone exchanges were flooded.  A natural disaster was declared in the Hunter Valley and the Central Coast areas. There were a total of nine fatalities associated with the storm. Nearly 20,000 calls for assistance were made to the State Emergency Service.  The Insurance Council of Australia estimated the 2007 damage at $1480 million, with the 2011 estimated normalised cost of $1742 million.","6/08/2007 0:00","6/10/2007 0:00",-32.92599487,151.7788696,NA,"",6000,0,0,9,1.48e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=17",NA,2,0,1
"6",6,6,17,18,"Disaster Event","Storm/Flood","In late June 2007, the Gippsland area received record rainfall associated with an intense low pressure system. The substantial rain event followed the Great Divide Bushfires, when 1.2 million hectares of public and private land were burnt and large areas of soil were left exposed.   The storm in June 2007 resulted in major flooding and widespread damage. Seven rivers burst their banks causing millions of dollars of damage to homes, businesses and farms, as well as a significant loss of public and private assets. The rapidly rising floodwaters forced dozens of rescues and evacuations. One person died as a result of the flood waters. During 48 hours of torrential rain more than 1000 emergency service staff worked to save homes and shops in towns throughout Gippsland. Relief centres were set up at Bairnsdale, Lakes Entrance, Paynesville, Sale, Lucknow and Loch Sport and housed up to 360 evacuees. Volunteers also provided medical aid and catering with other organisations such as the Lions Club.  The State Government established a Flood Recovery Ministerial Taskforce, which assessed community need and planned the recovery program. The Taskforce announced a $60 million Flood Recovery Initiative covering among other things the cost of work on some 400 roads, bridges and 80 walking tracks spanning hundreds of km and clearing debris from the regions&rsquo; water supplies, catchments and recreation areas.  The Insurance Council of Australia estimated the 2007 damage at $15 million, with the 2011 estimated normalised cost of $18 million.","6/27/2007 0:00","7/02/2007 0:00",-38.2273941,146.7471313,NA,"",0,0,0,1,1.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=18",NA,5,0,0
"7",7,7,21,22,"Disaster Event","Bushfire","Victoria experienced a very adverse fire season during 2006 - 2007. Lightning ignited a number of fires on 1 December 2006 and some later merged to form what is known as the 'Great Divide Complex' fires in eastern Victoria. The area burnt mostly public land and was estimated to be in the vicinity of 1.2 and 1.3 million hectares by the end of the season. On 7 February 2007, The Great Divide fires were finally contained after 69 days. There were also a number of other fires (Tawonga Gap burned 33,500 hectares and Tatong burned 33,000). Despite the severity of the fire season, housing and private asset losses were remarkably low. In total, 51 dwellings of which 21 were classified as primary residences were destroyed and hundreds of stock and farm fencing were lost in the fires. One man died in a vehicle accident while assisting a property owner to prepare for fire impact.  Thousands of community volunteers and career emergency service personnel across state, regional and community levels worked in partnership to ensure the fires were eventually brought under control. A further component to the response was the support and assistance from New Zealand, United States, Canadian and interstate colleagues.  By 7 February, more than 1400 firefighters had been injured in the fire fighting effort (including bruises, cuts, blisters, burns, dehydration, broken limbs and spider bites). More than 400 St John Ambulance volunteers, including doctors, nurses and first aid officers provided medical assistance. On 16 December, 11 New Zealand firefighters were injured while fighting the fire in the Howqua Valley in north-east Victoria.  On 16 January 2007 power lines were cut which severely disrupted Melbourne electricity supplies. On the same day, a fire threatened to close Tullamarine Airport. The Department of Sustainability and Environment (DSE) worked with Melbourne Water to keep the fires out of the water catchments.  A significant number of people were evacuated during the fires. Relief centres were established to accommodate evacuees. Some mountain tourist complexes were evacuated due to fires including Mount Buller and Thredbo Village in New South Wales, the latter due to a fire that started from a lightning strike at Hermit Mountain and crossed the border.  Victoria experienced widespread effects from the fires. Numerous schools in the high country and some parts of Gippsland were forced to close due to the fire threat and outside play at school was banned in some instances due to smoke haze. The smoke haze reportedly caused some respiratory symptoms and aggravated conditions such as asthma. Haze also ffected traffic and delayed flights in and out of Melbourne airport. On 20 December, the Environment Protection Authority recorded its worst bushfire smoke since records began, with visibility reduced to two km in Melbourne's central business district.  During the fire season, the Country Fire Authority, Department of Sustainability and Environment and Parks Victoria received operational assistance from other states and a significant international contingent:    ACT - 37 personnel  NSW - 1050 personnel  NT - 108 personnel  SA - 10 personnel  Qld - 14 personnel  WA - 20 personnel  Canada - 52 personnel  New Zealand - 115 personnel  USA - 114 personnel    The Victorian and Federal Government provided financial assistance to aid personal, physical and economic recovery from the fire disaster.  The Insurance Council of Australia did not report any cost for this particular fire.","12/01/2006 0:00","2/07/2007 0:00",-36.71800995,147.1452179,NA,"",0,0,1400,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=22",NA,68,51,0
"8",8,8,23,24,"Disaster Event","Storm/Flood","In early October 2007, severe storms brought about heavy rain and caused widespread damage in south-east Queensland and northern New South Wales.  There was damage to roads, bridges, houses and buildings. The State Emergency Services (SES) provided accommodation, household repairs and replacement assistance.  The Insurance Council of Australia estimated the 2007 damage at $97 million, with the 2011 estimated normalised cost of $109 million.","10/07/2007 0:00","10/12/2007 0:00",-28.80579758,153.2768707,NA,"",0,0,0,0,9.7e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=24",NA,5,0,0
"9",9,9,28,29,"Disaster Event","Cyclone/Tornado","Two lows merged in a very active monsoon trough in the Coral Sea and developed into Tropical Cyclone Justin on 7 March. Tropical Cyclone Justin sat in the Coral Sea for three days, causing high winds and huge swells and maximum intensity was recorded on 9 March. It was downgraded to a tropical low on 13 March. The cyclone then drifted north and re-intensified to tropical cyclone strength on 14 March, reaching peak intensity on 18 March before weakening and crossing the coast north-west of Cairns on 22 March.  The combined effects of heavy rain, large seas and gale to storm force winds caused widespread damage in the region between Cairns and Townsville and the loss of two lives (one person by a landslide at Paluma near Townsville, and one person electrocuted by a fallen power line at Innisfail 70 km south south-east of Cairns).  Earlier in Justin's life cycle 30 people were killed in Papua New Guinea and five people died when their yacht was destroyed. Justin&nbsp;was reportedly responsible for an estimated loss of $150 million to the agricultural industry alone.","3/06/1997 0:00","3/24/1997 0:00",-19.39195442,155.8560638,NA,"",0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=29",NA,18,0,0
"10",10,10,30,31,"Disaster Event","Cyclone/Tornado","On 20 January a cyclone with wind gusts estimated at 195 km per hour hit Mackay. Thirty people were killed in Mackay and Rockhampton. In Rockhampton 1400 homes were damaged by the subsequent flooding of the Fitzroy River.  A storm surge created waves of up to 2.7 m which broke in the centre of the town. The cyclone generated rainfall of 1141 mm over three days which flooded the Pioneer River. Further south, the Fitzroy River at Rockhampton peaked at 9.3 m where on 23 January six people drowned. The news of the disaster did not reach the outside world for five days due to the breakdown of available communication links.","1/20/1918 0:00","1/22/1918 0:00",-21.17188644,149.2073364,NA,"",0,0,0,30,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=31",NA,2,1400,0
